URL,Image_URL,Name,Original_Price(INR),Discount_Price(INR),Description
https://www.nike.com/ph/t/vomero-18-road-running-shoes-Vn57Nq/HM6804-102,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/c43f4590-4646-4c8b-8315-27a56d9a3dd6/W+NIKE+VOMERO+18.png",Nike Vomero 18,13096.2,9168.12,"Colour Shown: White/Electric Green/Volt/Black
Style: HM6804-102
Country/Region of Origin: Vietnam"
https://www.nike.com/ph/t/vomero-18-gore-tex-waterproof-road-running-shoes-with-reflective-design-accents-wFzWbOIJ/HQ7001-003,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/9e35c6e3-8485-4999-8640-783709be4d9c/NIKE+VOMERO+18+GTX.png",Nike Vomero 18 GORE-TEX,15592.2,12473.76,"Colour Shown: Pure Platinum/Light Pumice/Barely Green/Metallic Silver
Style: HQ7001-003
Country/Region of Origin: Vietnam"
https://www.nike.com/ph/t/journey-run-road-running-shoes-N1vP09/FJ7765-115,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/5b2e9cd1-a2d0-40f4-816e-c8daf6e2a2ad/W+NIKE+JOURNEY+RUN.png",Nike Journey Run,7792.2,4675.32,"Colour Shown: Sail/Photon Dust/Summit White/Metallic Silver
Style: FJ7765-115
Country/Region of Origin: Vietnam"
https://www.nike.com/ph/t/air-max-dn-shoes-3lJJCZ/IB7025-200,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/64767107-651e-4ea6-b19e-6294f6e41f31/AIR+MAX+DN+NRG.png",Nike Air Max Dn,15124.2,7562.88,"The Air Max Dn features our Dynamic Air unit system of dual-pressure tubes, creating a reactive sensation with every step. This results in a futuristic design that's comfortable enough to wear from day to night. Plus, this version sports an abstract pattern on the upper. Go ahead—Feel The Unreal.

Colour Shown: Neutral Olive/Black/Fir/Bright Ceramic
Style: IB7025-200
Country/Region of Origin: Vietnam"
https://www.nike.com/ph/t/p-6000-shoes-LWgdnudu/IM6648-009,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/782405ec-b1f8-4a32-b293-46c5b4a4a016/NIKE+P-6000.png",Nike P-6000,9664.2,7731.36,"The P-6000 is a mash-up of Pegasus sneakers past. It takes the early 2000s running style to modern heights by combining sporty design lines with breathable textiles. And its foam cushioning adds a lifted, athletics-inspired stance for unbelievable comfort.

Colour Shown: College Grey/Team Gold/Pale Ivory/Khaki
Style: IM6648-009
Country/Region of Origin: Vietnam"
https://www.nike.com/ph/t/calm-realtree-mules-hVCDfZ58/HV6255-201,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/fb3afa7d-b5d7-423d-aa01-747ce29a06c1/NIKE+CALM+MULE+-+REALTREE+WNTR.png",Nike Calm RealTree,7012.2,5609.76,"Enjoy a calm, comfortable experience—wherever your day off takes you. Made from soft yet supportive foam, the minimal design features a RealTree print on the upper and is easy to style with or without socks. And the heel strap is both adjustable and removable to give you a personalised fit.

Colour Shown: Velvet Brown/Velvet Brown/Velvet Brown
Style: HV6255-201
Country/Region of Origin: Indonesia"
https://www.nike.com/ph/t/sabrina-3-gamer-ep-basketball-shoes-2w1twW7b/II3986-300,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/0401e22f-1a55-41b8-a5b5-759254bb71b0/SABRINA+3+GAMER+EP.png","Sabrina 3 ""Gamer"" EP",12628.2,10102.56,"Sabrina Ionescu's pursuit of excellence requires a shoe that can keep up with both her work ethic and will to win. Enter the Sabrina 3. Its lightweight, secure upper helps keep her supported with cables, allowing her to shift, slide and step back with confidence. With its extra-durable rubber outsole, this version gives you traction for outdoor courts.

Colour Shown: Green Shock/Vapour Green/Vivid Purple/Black
Style: II3986-300
Country/Region of Origin: Vietnam"
https://www.nike.com/ph/t/precision-7-basketball-shoes-6JN4R0/HJ9153-601,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/288e715e-3091-4f98-8080-0ddeedfb424a/NIKE+PRECISION+VII.png",Nike Precision 7,5764.2,4611.36,"Score at will at the rim or from deep in the Nike Precision 7. Crafted with a combination of ground control, comfort and on-court traction, it's perfect for instant impact plays when your name is called for the next casual game. Check in and make the plays that swing the outcome in your favour.

Colour Shown: Pink Blast/White/Black
Style: HJ9153-601
Country/Region of Origin: India"
https://www.nike.com/ph/t/free-metcon-6-workout-shoes-Q3pWcF/FJ7126-606,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/e073acf6-10a8-4b43-ae30-ddffce863a90/W+NIKE+FREE+METCON+6.png",Nike Free Metcon 6,10756.2,8604.96,"The Free Metcon 6 opens your world of workout possibilities. We added even more forefoot flexibility to our most adaptable trainer and reinforced the heel with extra foam. That means more freedom for dynamic movements during plyos and cardio classes, plus the stable base you need for weights.

Colour Shown: Silt Red/Red Stardust/Red Sepia
Style: FJ7126-606
Country/Region of Origin: Vietnam"
https://www.nike.com/ph/t/total-90-shoes-Yr4jp94v/IH2090-200,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/384b25fc-968f-4a5f-82fb-64d6316c0ace/TOTAL+90+PRM.png",Nike Total 90 Premium,11848.2,7108.92,"Authentic football style, now made for every day. The Total 90 is back, delivering Y2K nostalgia with its original quilted upper and asymmetrical lacing. We swapped the studs for a flat rubber sole ready for the streets, and brought back a heritage colour palette ready for however you want to wear it.

Colour Shown: Pearl White/Pearl White/Gum Dark Brown/Shadow Brown
Style: IH2090-200
Country/Region of Origin: Vietnam"
