URL,Image_URL,Name,Original_Price(INR),Discount_Price(INR),Discount_Percentage
https://www.nike.com/ph/t/acg-zoom-gaiadome-gore-tex-se-shoes-XTGRaGYz/IB2328-200,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/63484b6a-47bc-4f0e-824e-3c03e0930151/ACG+ZOOM+GAIADOME+GTX+SE.png",Nike ACG Zoom Gaiadome GORE-TEX SE,19648.2,15718.56,20.0
https://www.nike.com/ph/t/vomero-18-road-running-shoes-Vn57Nq/HM6804-110,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/6d1a0f85-ce1a-4098-943a-b4757eb349f0/W+NIKE+VOMERO+18.png",Nike Vomero 18,13096.2,10476.96,20.0
https://www.nike.com/ph/t/field-general-shoes-pwd2rT/HF3165-102,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/a4baec06-157d-4b49-bf2f-9c926a0fbabe/NIKE+FIELD+GENERAL.png",Nike Field General,9040.2,5424.12,40.0
https://www.nike.com/ph/t/pegasus-41-gore-tex-waterproof-road-running-shoes-k3k42w/FQ1357-004,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/83962de7-a826-48ca-a0b9-392d4bee0850/W+AIR+ZM+PEGASUS+41+GTX.png",Nike Pegasus 41 GORE-TEX,13876.2,11100.96,20.0
https://www.nike.com/ph/t/air-jordan-1-mid-shoes-SQf7DM/DQ8426-102,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/ab8d8bb7-536e-43af-8f49-5d86c370b7a2/AIR+JORDAN+1+MID.png",Air Jordan 1 Mid,11068.2,6640.92,40.0
https://www.nike.com/ph/t/promina-walking-shoes-CsDWSZ/FV6343-008,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/3b3b9fd8-fe3f-43c5-b3ec-8596fc5ba6e0/W+NIKE+PROMINA.png",Nike Promina,5140.2,4112.16,20.0
https://www.nike.com/ph/t/sabrina-3-ep-basketball-shoes-G2lc4oD7/HF2882-101,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/bcce47be-9654-41f3-a63f-331602bc3486/SABRINA+3+EP.png",Sabrina 3 EP,11848.2,9478.56,20.0
https://www.nike.com/ph/t/dunk-low-retro-se-shoes-rR7BbNG9/IB2990-500,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/1f2a4286-5d0f-48f8-aeac-78b2e59d8450/NIKE+DUNK+LOW+RETRO+SE.png",Nike Dunk Low Retro SE,10912.2,6547.32,40.0
https://www.nike.com/ph/t/juniper-trail-2-gore-tex-waterproof-trail-running-shoes-61f57n/HM9734-302,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/03d4f14c-63ec-425b-b2ed-912113d9698f/NIKE+JUNIPER+TRAIL+2+GTX+V2.png",Nike Juniper Trail 2 GORE-TEX,9976.2,7980.96,20.0
https://www.nike.com/ph/t/cortez-leather-shoes-svdKM9/DN1791-116,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/6ec5a807-a340-4cfd-9e22-2bfff535c058/W+NIKE+CORTEZ.png",Nike Cortez Leather,7324.2,5859.36,20.0
